classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
MATH0290G,Sem 1,Open,10,2,No Waitlist,TW, 1pm, 2:50pm,Mathematical Sciences 6627,4.0,"Tao, T.C., Bedrossian, J.P., Bonk, M., Visan, M., Killip, R."
MATH0290I,Sem 1,Open,10,0,No Waitlist,M, 4pm, 5:50pm,Mathematical Sciences 7608,4.0,"Popa, S."
MATH0290J,Sem 1,Open,10,1,No Waitlist,MWF, 4pm, 5:50pm,Mathematical Sciences 5117,4.0,"Porter, M.A."
MATH0290J,Sem 2,Open,10,0,No Waitlist,T, 4pm, 4:50pm,Mathematical Sciences 5117,4.0,"Ryu, E.K."
MATH0290J,Sem 3,Open,30,0,No Waitlist,MF, 1pm, 1:50pm,Mathematical Sciences 5137,4.0,No instructors
MATH0290K,Sem 1,Open,10,0,No Waitlist,"M, M", 3pm 4pm, 3:50pm 5:50pm,"Mathematical Sciences 5203, Mathematical Sciences 5203",4.0,"Biskup, M."
MATH0290M,Sem 1,Closed by Dept ,0,0,No Waitlist,"W, W", 1pm 1pm, 1:50pm 1:50pm,"Mathematical Sciences 5147, Mathematical Sciences 5137",4.0,"Rouquier, R.A."
MATH0290M,Sem 2,Closed by Dept ,0,0,No Waitlist,"F, F", 1pm 2pm, 1:50pm 2:50pm,"Mathematical Sciences 5118, Mathematical Sciences 5118",4.0,"Rouquier, R.A."
MATH0290M,Sem 3,Closed by Dept ,0,0,No Waitlist,"F, F", 1pm 2pm, 1:50pm 2:50pm,"Mathematical Sciences 5127, Mathematical Sciences 5127",4.0,"Rouquier, R.A."
MATH0290N,Sem 1,Open,10,0,No Waitlist,"W, M", 10am 2pm, 10:50am 2:50pm,"Mathematical Sciences 5147, Mathematical Sciences 5147",4.0,"Galashin, P."
MATH0296B,Sem 1,Open,10,0,No Waitlist,M, 3pm, 4:50pm,Mathematical Sciences 6627,1.0,"Sharifi, R.T."
MATH0296D,Sem 1,Open,10,0,No Waitlist,F, 2pm, 3:30pm,Mathematical Sciences 6627,1.0,"Neeman, I."
MATH0296F,Sem 1,Open,10,0,No Waitlist,F, 2pm, 2:50pm,Mathematical Sciences 5147,1.0,The Staff
MATH0296G,Sem 2,Open,10,0,No Waitlist,F, 4pm, 6:50pm,Mathematical Sciences 6221,1.0,"Chernikov, A."
MATH0296I,Sem 1,Open,10,0,No Waitlist,W, 4pm, 5:30pm,Mathematical Sciences 6627,1.0,"Popa, S."
MATH0296J,Sem 1,Open,10,0,No Waitlist,W, 4pm, 5:50pm,Mathematical Sciences 6229,1.0,"Porter, M.A."
MATH0296J,Sem 2,Open,10,0,No Waitlist,M, 4pm, 4:50pm,Mathematical Sciences 5138,1.0,"Osher, S.J."
MATH0296K,Sem 1,Open,10,0,No Waitlist,R, 11am, 11:50am,Mathematical Sciences 6201,1.0,"Biskup, M., Menz, G., Yin, J."
MATH0296N,Sem 1,Open,10,0,No Waitlist,R, 2pm, 3:50pm,Mathematical Sciences 6201,1.0,"Pak, I."
MATH0596,Tut 1,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Balmer, P."
MATH0596,Tut 2,Closed,1,1,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Bedrossian, J.P."
MATH0596,Tut 3,Open,3,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Bernshteyn, A."
MATH0596,Tut 4,Open,3,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Bertozzi, A."
MATH0596,Tut 5,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Biskup, M."
MATH0596,Tut 6,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Blasius, D.M."
MATH0596,Tut 7,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Bonk, M."
MATH0596,Tut 8,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Chen, Y."
MATH0596,Tut 9,Open,2,1,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Cucuringu, M."
MATH0596,Tut 10,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Dhillon, G."
MATH0596,Tut 11,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Galashin, P."
MATH0596,Tut 12,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Gangbo, W."
MATH0596,Tut 13,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Gao, Z."
MATH0596,Tut 14,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Greene, R.E."
MATH0596,Tut 15,Open,3,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Honda, K."
MATH0596,Tut 16,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Jiang, C."
MATH0596,Tut 17,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Khare, C."
MATH0596,Tut 18,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Khitrik, M."
MATH0596,Tut 19,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Killip, R."
MATH0596,Tut 20,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Kim, C."
MATH0596,Tut 21,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Maldague, D.F."
MATH0596,Tut 22,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Menz, G."
MATH0596,Tut 23,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Merkurjev, A.S."
MATH0596,Tut 24,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Montufar Cuartas,"
MATH0596,Tut 25,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Moraga, J."
MATH0596,Tut 26,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Needell, D."
MATH0596,Tut 27,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Neeman, I."
MATH0596,Tut 28,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Osher, S.J."
MATH0596,Tut 29,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Pak, I."
MATH0596,Tut 30,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Petersen, P."
MATH0596,Tut 31,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Popa, S."
MATH0596,Tut 32,Open,4,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Porter, M.A."
MATH0596,Tut 33,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Roper, M.L."
MATH0596,Tut 34,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Rouquier, R.A."
MATH0596,Tut 35,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Ryu, E.K."
MATH0596,Tut 36,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Sarkar, S."
MATH0596,Tut 37,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Schaeffer, H.K."
MATH0596,Tut 38,Open,1,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Sharifi, R.T."
MATH0596,Tut 39,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Shlyakhtenko, D.Y."
MATH0596,Tut 40,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Tao, T.C."
MATH0596,Tut 41,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Totaro, B."
MATH0596,Tut 42,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Vese, L.A."
MATH0596,Tut 43,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Visan, M."
MATH0596,Tut 44,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Xu, Z."
MATH0596,Tut 45,Closed by Dept ,0,0,No Waitlist,Not scheduled,,,No Location,2.0-8.0 Variable,"Yin, J."
MATH0599,Tut 1,Open,2,0,No Waitlist,Not scheduled,,,No Location,2.0-12.0 Variable,"Balmer, P."
