classId,lec_dis,status,total_spots,enrolled_spots,waitlist_status,days,start_time,end_time,location,units,instructors
MATH0170E,Dis 2A,Open,40,0,No Waitlist,T,9,9:50,Young Hall 1044,0.0,TA
MATH0170E,Dis 2B,Open,40,0,No Waitlist,R,9,9:50,Young Hall 1044,0.0,TA
MATH0170E,Lec 3,Open,80,0,No Waitlist,MWF,1,1:50,Public Affairs Building 1222,4.0,"Nguyen, T."
MATH0170E,Dis 3A,Open,40,0,No Waitlist,T,1,1:50,Geology Building 4645,0.0,TA
MATH0170E,Dis 3B,Open,40,0,No Waitlist,R,1,1:50,Geology Building 4645,0.0,TA
MATH0170E,Lec 4,Open,80,0,No Waitlist,MWF,4,4:50,Mathematical Sciences 5200,4.0,The Staff
MATH0170E,Dis 4A,Open,40,0,No Waitlist,T,4,4:50,Geology Building 4645,0.0,TA
MATH0170E,Dis 4B,Open,40,0,No Waitlist,R,4,4:50,Geology Building 4645,0.0,TA
MATH0170S,Lec 1,Open,80,0,No Waitlist,MWF,11,11:50,Public Affairs Building 1222,4.0,"Farolfi, G."
MATH0170S,Dis 1A,Open,40,0,No Waitlist,T,11,11:50,Geology Building 6704,0.0,TA
MATH0170S,Dis 1B,Open,40,0,No Waitlist,R,11,11:50,Geology Building 6704,0.0,TA
MATH0170S,Lec 2,Open,80,0,No Waitlist,MWF,10,10:50,Public Affairs Building 1222,4.0,"Gu, H."
MATH0170S,Dis 2A,Open,40,0,No Waitlist,T,10,10:50,Geology Building 6704,0.0,TA
MATH0170S,Dis 2B,Open,40,0,No Waitlist,R,10,10:50,Geology Building 6704,0.0,TA
MATH0170S,Lec 3,Open,80,0,No Waitlist,MWF,3,3:50,Public Affairs Building 1222,4.0,The Staff
MATH0170S,Dis 3A,Open,40,0,No Waitlist,T,3,3:50,Boelter Hall 5264,0.0,TA
MATH0170S,Dis 3B,Open,40,0,No Waitlist,R,3,3:50,Boelter Hall 5264,0.0,TA
MATH0171,Lec 1,Open,40,0,No Waitlist,MWF,12,12:50,Geology Building 6704,4.0,"Gu, H."
MATH0174E,Lec 1,Open,80,0,No Waitlist,MWF,12,12:50,Public Affairs Building 1222,4.0,"Weihs, A."
MATH0174E,Dis 1A,Open,40,0,No Waitlist,T,12,12:50,Geology Building 4645,0.0,TA
MATH0174E,Dis 1B,Open,40,0,No Waitlist,R,12,12:50,Geology Building 4645,0.0,TA
MATH0178B,Lec 1,Open,80,0,No Waitlist,MWF,9,9:50,Public Affairs Building 1222,4.0,"Voss, M."
MATH0178B,Dis 1A,Open,40,0,No Waitlist,T,9,9:50,Boelter Hall 5440,0.0,TA
MATH0178B,Dis 1B,Open,40,0,No Waitlist,R,9,9:50,Boelter Hall 5440,0.0,TA
MATH0180,Lec 1,Open,40,0,No Waitlist,MWF,2,2:50,Geology Building 6704,4.0,"Zhang, W."
MATH0182,Lec 1,Open,40,0,No Waitlist,MWF,3,3:50,Geology Building 6704,4.0,"Soskin, D."
MATH0192AM,Sem 1,Closed by Dept Mathematics,0,0,No Waitlist,T,3:30,4:45,Moore Hall 100,1.0,"TA; Roper, M.L.; Shaked, S."
MATH0192B,Sem 1,Closed by Dept Mathematics,0,0,No Waitlist,R,3:30,4:45,Royce Hall 154,2.0-4.0 Variable,"Roper, M.L.; Shaked, S."
MATH0205B,Lec 1,Open,30,0,No Waitlist,MWF,11,11:50,Mathematical Sciences 7608,4.0,"Sharifi, R.T."
MATH0206B,Lec 1,Open,30,0,No Waitlist,MWF,3,3:50,Mathematical Sciences 5137,4.0,"Pak, I."
MATH0207A,Lec 1,Closed by Dept Mathematics,0,0,No Waitlist,MWF,2,2:50,Mathematical Sciences 5117,4.0,The Staff
MATH0207B,Lec 1,Open,30,0,No Waitlist,MWF,1,1:50,Mathematical Sciences 7608,4.0,"Blasius, D.M."
MATH0209BM,Lec 1,Open,20,0,0 of 15 Taken,MW,4,5:50,Dodd Hall 78,4.0,"Ostrovsky, R."
MATH0210B,Lec 1,Open,30,0,No Waitlist,MWF,10,10:50,Mathematical Sciences 5203,4.0,"Balmer, P."
MATH0210B,Dis 1A,Open,30,0,No Waitlist,R,10,10:50,Mathematical Sciences 5203,0.0,TA
MATH0212A,Lec 1,Open,30,0,No Waitlist,MWF,10,10:50,Mathematical Sciences 7608,4.0,"Merkurjev, A.S."
MATH0214A,Lec 1,Open,30,0,No Waitlist,MWF,12,12:50,Mathematical Sciences 5127,4.0,"Totaro, B."
MATH0220B,Lec 1,Open,30,0,No Waitlist,MWF,9,9:50,Mathematical Sciences 7608,4.0,"Neeman, I."
MATH0223S,Lec 1,Open,30,0,No Waitlist,MWF,2,2:50,Mathematical Sciences 5137,4.0,"Adkisson, W."
MATH0225B,Lec 1,Open,30,0,No Waitlist,MWF,12,12:50,Mathematical Sciences 7608,4.0,"Sarkar, S."
MATH0225B,Dis 1A,Open,30,0,No Waitlist,T,12,12:50,Mathematical Sciences 6221,0.0,TA
MATH0245B,Lec 1,Open,30,0,No Waitlist,MWF,11,11:50,Mathematical Sciences 5203,4.0,"Gangbo, W."
MATH0245B,Dis 1A,Open,30,0,No Waitlist,R,11,11:50,Mathematical Sciences 5203,0.0,TA
MATH0246B,Lec 1,Open,30,0,No Waitlist,MWF,12,12:50,Mathematical Sciences 5203,4.0,"Bonk, M."
MATH0247A,Lec 1,Open,30,0,No Waitlist,MWF,9,9:50,Mathematical Sciences 6201,4.0,"Visan, M."
MATH0251B,Lec 1,Open,30,0,No Waitlist,MWF,11,11:50,Mathematical Sciences 6201,4.0,"Kim, C."
MATH0254A,Lec 1,Closed by Dept Mathematics,0,0,No Waitlist,MWF,1,1:50,Mathematical Sciences 6201,4.0,The Staff
MATH0254B,Lec 1,Open,30,0,No Waitlist,MWF,2,2:50,Mathematical Sciences 5203,4.0,"Maldague, D.F."
MATH0255B,Lec 1,Open,30,0,No Waitlist,MWF,10,10:50,Mathematical Sciences 6201,4.0,"Shlyakhtenko, D.Y."
MATH0266B,Lec 1,Open,30,0,No Waitlist,MWF,11,11:50,Mathematical Sciences 5117,4.0,"Roper, M.L."
MATH0266B,Dis 1A,Open,30,0,No Waitlist,T,11,11:50,Mathematical Sciences 5117,0.0,TA
MATH0266E,Lec 1,Open,30,0,No Waitlist,MWF,3,3:50,Mathematical Sciences 5117,4.0,"Porter, M.A."
MATH0269B,Lec 1,Open,30,0,No Waitlist,MWF,10,10:50,Mathematical Sciences 6627,4.0,"Osher, S.J."
MATH0269B,Dis 1A,Open,30,0,No Waitlist,R,10,10:50,Mathematical Sciences 6627,0.0,TA
MATH0270B,Lec 1,Open,30,0,No Waitlist,MWF,2,2:50,Mathematical Sciences 5117,4.0,"Needell, D."
MATH0275B,Lec 1,Open,30,0,No Waitlist,MWF,1,1:50,Mathematical Sciences 5203,4.0,"Yin, J."
MATH0285I,Sem 1,Open,30,0,No Waitlist,MWF,3,3:50,Mathematical Sciences 6221,4.0,"Popa, S."
MATH0285J,Sem 1,Open,30,0,No Waitlist,MWF,9,9:50,Mathematical Sciences 5117,4.0,"Ryu, E.K."
MATH0285K,Sem 1,Open,30,0,No Waitlist,MWF,3,3:50,Mathematical Sciences 6201,4.0,"Menz, G."
MATH0290A,Sem 1,Closed by Dept Mathematics,0,0,No Waitlist,MWFR,9,9:50,"Mathematical Sciences 5203, Mathematical Sciences 5203",4.0,No instructors
MATH0290B,Sem 1,Open,10,0,No Waitlist,T,2,2:50,Mathematical Sciences 6201,4.0,"Khare, C.; Sharifi, R.T."
MATH0290B,Sem 2,Closed by Dept Mathematics,0,0,No Waitlist,W,4,5:50,Mathematical Sciences 6201,4.0,"Hida, H."
MATH0290B,Sem 3,Open,10,0,No Waitlist,T,2,2:50,Mathematical Sciences 7608,4.0,"Blasius, D.M."
MATH0290C,Sem 1,Open,10,0,No Waitlist,WF,3,3:50,Mathematical Sciences 5203,4.0,"Rouquier, R.A.; Balmer, P.; Dhillon, G.; Moraga, J.; Merkurjev, A.S."
MATH0290C,Sem 2,Open,10,0,No Waitlist,WF,4,5:50,Mathematical Sciences 5203,4.0,"Totaro, B."
MATH0290C,Sem 3,Open,10,0,No Waitlist,M,11,11:50,Mathematical Sciences 5147,4.0,"Balmer, P."
MATH0290C,Sem 4,Open,10,0,No Waitlist,R,10,10:50,Mathematical Sciences 6201,4.0,"Marks, A."
MATH0290C,Sem 5,Open,10,0,No Waitlist,TW,2,2:50,"Mathematical Sciences 5147, Mathematical Sciences 5147",4.0,"Moraga, J."
MATH0290D,Sem 1,Open,10,0,No Waitlist,W,3,5:50,Mathematical Sciences 5147,4.0,"Neeman, I."
MATH0290F,Sem 1,Open,10,0,No Waitlist,W,4,4:50,Mathematical Sciences 7608,4.0,"Xu, Z."
MATH0290F,Sem 2,Open,10,0,No Waitlist,WFM,3,3:50,"Mathematical Sciences 5118, Mathematical Sciences 5118",4.0,"Honda, K.; Sarkar, S."
